mi_sku,subcategoria,n_variantes,tipos,imagen_compartida,estado
MED-6540,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-21M0_img1.jpg,imagenes_variante_duplicadas
MED-6541,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-21P0_img1.jpg,imagenes_variante_duplicadas
MED-6542,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-220_img1.jpg,imagenes_variante_duplicadas
MED-6543,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-22M0_img1.jpg,imagenes_variante_duplicadas
MED-6544,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-230_img1.jpg,imagenes_variante_duplicadas
MED-6545,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-240_img1.jpg,imagenes_variante_duplicadas
MED-6546,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-260_img1.jpg,imagenes_variante_duplicadas
MED-6547,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-270_img1.jpg,imagenes_variante_duplicadas
MED-6548,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-280_img1.jpg,imagenes_variante_duplicadas
MED-6549,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-290_img1.jpg,imagenes_variante_duplicadas
MED-6550,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-29M0_img1.jpg,imagenes_variante_duplicadas
MED-6551,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-30M0_img1.jpg,imagenes_variante_duplicadas
MED-6552,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-310_img1.jpg,imagenes_variante_duplicadas
MED-6553,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-330_img1.jpg,imagenes_variante_duplicadas
MED-6554,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-360_img1.jpg,imagenes_variante_duplicadas
MED-6555,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-370_img1.jpg,imagenes_variante_duplicadas
MED-6556,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-38P0_img1.jpg,imagenes_variante_duplicadas
MED-6557,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-390_img1.jpg,imagenes_variante_duplicadas
MED-6558,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-46D0_img1.jpg,imagenes_variante_duplicadas
MED-6559,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-470_img1.jpg,imagenes_variante_duplicadas
MED-6560,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-480_img1.jpg,imagenes_variante_duplicadas
MED-6561,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-540_img1.jpg,imagenes_variante_duplicadas
MED-6562,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-550_img1.jpg,imagenes_variante_duplicadas
MED-6563,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-580_img1.jpg,imagenes_variante_duplicadas
MED-6564,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-59P0_img1.jpg,imagenes_variante_duplicadas
MED-6565,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-600_img1.jpg,imagenes_variante_duplicadas
MED-6566,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-61D0_img1.jpg,imagenes_variante_duplicadas
MED-6567,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-62D0_img1.jpg,imagenes_variante_duplicadas
MED-6568,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-630_img1.jpg,imagenes_variante_duplicadas
MED-6569,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-640_img1.jpg,imagenes_variante_duplicadas
MED-6570,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-65D0_img1.jpg,imagenes_variante_duplicadas
MED-6571,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-66D0_img1.jpg,imagenes_variante_duplicadas
MED-6572,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-68D0_img1.jpg,imagenes_variante_duplicadas
MED-6573,spo2_direct_connect_sensors,6,Adult Clip|Adult Soft|Multi-Site|Neonate Soft|Pediatric Clip|Pediatric Soft,S110-690_img1.jpg,imagenes_variante_duplicadas
