mi_sku,subcategoria,tipo,sku_ref,archivo_actual,familia_duplicada
MED-6509,spo2_direct_connect_sensors,Pediatric Clip,S110-101P0,direct-connect-spo2-sensors/S110-101P0_img1.jpg,si
MED-6509,spo2_direct_connect_sensors,Pediatric Soft,S110S-101P0,direct-connect-spo2-sensors/S110S-101P0_img1.jpg,si
MED-6510,spo2_direct_connect_sensors,Adult Clip,S410-1060,direct-connect-spo2-sensors/S410-1060_img1.jpg,si
MED-6510,spo2_direct_connect_sensors,Adult Soft,S410S-1060,direct-connect-spo2-sensors/S410S-1060_img1.jpg,si
MED-6510,spo2_direct_connect_sensors,Multi-Site,S810-1060,direct-connect-spo2-sensors/S810-1060_img1.jpg,si
MED-6510,spo2_direct_connect_sensors,Neonate Soft,S310-1060,direct-connect-spo2-sensors/S310-1060_img1.jpg,si
MED-6510,spo2_direct_connect_sensors,Pediatric Clip,S110-1060,direct-connect-spo2-sensors/S110-1060_img1.jpg,si
MED-6510,spo2_direct_connect_sensors,Pediatric Soft,S110S-1060,direct-connect-spo2-sensors/S110S-1060_img1.jpg,si
MED-6511,spo2_direct_connect_sensors,Adult Clip,S410-1080,direct-connect-spo2-sensors/S410-1080_img1.jpg,si
MED-6511,spo2_direct_connect_sensors,Adult Soft,S410S-1080,direct-connect-spo2-sensors/S410S-1080_img1.jpg,si
MED-6511,spo2_direct_connect_sensors,Multi-Site,S810-1080,direct-connect-spo2-sensors/S810-1080_img1.jpg,si
MED-6511,spo2_direct_connect_sensors,Neonate Soft,S310-1080,direct-connect-spo2-sensors/S310-1080_img1.jpg,si
MED-6511,spo2_direct_connect_sensors,Pediatric Clip,S110-1080,direct-connect-spo2-sensors/S110-1080_img1.jpg,si
MED-6511,spo2_direct_connect_sensors,Pediatric Soft,S110S-1080,direct-connect-spo2-sensors/S110S-1080_img1.jpg,si
MED-6512,spo2_direct_connect_sensors,Adult Clip,S410-110,direct-connect-spo2-sensors/S410-110_img1.jpg,si
MED-6512,spo2_direct_connect_sensors,Adult Soft,S410S-110,direct-connect-spo2-sensors/S410S-110_img1.jpg,si
MED-6512,spo2_direct_connect_sensors,Multi-Site,S810-110,direct-connect-spo2-sensors/S810-110_img1.jpg,si
MED-6512,spo2_direct_connect_sensors,Neonate Soft,S310-110,direct-connect-spo2-sensors/S310-110_img1.jpg,si
MED-6512,spo2_direct_connect_sensors,Pediatric Clip,S110-110,direct-connect-spo2-sensors/S110-110_img1.jpg,si
MED-6512,spo2_direct_connect_sensors,Pediatric Soft,S110S-110,direct-connect-spo2-sensors/S110S-110_img1.jpg,si
MED-6513,spo2_direct_connect_sensors,Adult Clip,S410-1130,direct-connect-spo2-sensors/S410-1130_img1.jpg,si
MED-6513,spo2_direct_connect_sensors,Adult Soft,S410S-1130,direct-connect-spo2-sensors/S410S-1130_img1.jpg,si
MED-6513,spo2_direct_connect_sensors,Multi-Site,S810-1130,direct-connect-spo2-sensors/S810-1130_img1.jpg,si
MED-6513,spo2_direct_connect_sensors,Neonate Soft,S310-1130,direct-connect-spo2-sensors/S310-1130_img1.jpg,si
MED-6513,spo2_direct_connect_sensors,Pediatric Clip,S110-1130,direct-connect-spo2-sensors/S110-1130_img1.jpg,si
MED-6513,spo2_direct_connect_sensors,Pediatric Soft,S110S-1130,direct-connect-spo2-sensors/S110S-1130_img1.jpg,si
MED-6514,spo2_direct_connect_sensors,Adult Clip,S410-120,direct-connect-spo2-sensors/S410-120_img1.jpg,si
MED-6514,spo2_direct_connect_sensors,Adult Soft,S410S-120,direct-connect-spo2-sensors/S410S-120_img1.jpg,si
